barri_name,avg_food_access_score,median_income,total_stores,food_desert_hexes,total_hexes,pct_food_desert
"Vallvidrera, el Tibidabo i les Planes",21.334191334191335,32833.0,2,75,105,71.4
Sant Genís dels Agudells,22.84084084084084,19094.0,0,11,15,73.3
la Marina del Prat Vermell,23.315015015015014,16015.0,24,89,150,59.3
Montbau,23.78878878878879,20566.5,1,9,18,50.0
Torre Baró,25.455749867514577,12819.0,2,2,17,11.8
Vallbona,25.825825825825827,13420.0,0,0,3,0.0
Horta,26.126126126126128,21854.0,6,12,21,57.1
la Trinitat Vella,26.493993993993996,13022.0,2,0,6,0.0
la Trinitat Nova,26.61036036036036,14232.0,2,0,4,0.0
Ciutat Meridiana,27.072072072072075,11845.0,1,0,1,0.0
Baró de Viver,27.207207207207208,13678.5,0,0,1,0.0
Sarrià,27.786980528916015,33795.0,9,9,31,29.0
Canyelles,27.798423423423422,19957.0,2,1,8,12.5
Pedralbes,28.672903672903676,42688.0,15,10,26,38.5
el Bon Pastor,29.84555984555985,14841.0,10,0,21,0.0
les Roquetes,30.185810810810814,13630.5,2,0,8,0.0
Sant Gervasi - la Bonanova,31.6966966966967,36213.5,17,5,18,27.8
Verdun,32.7027027027027,15160.0,3,0,1,0.0
el Besòs i el Maresme,33.38481338481339,13735.0,10,1,7,14.3
la Prosperitat,33.62162162162163,16819.0,9,0,5,0.0
Diagonal Mar i el Front Marítim del Poblenou,34.0958815958816,25619.0,8,0,14,0.0
la Barceloneta,34.619932432432435,17877.0,30,1,16,6.2
la Guineueta,35.52927927927928,19848.0,10,0,8,0.0
la Verneda i la Pau,35.572072072072075,17668.0,10,0,10,0.0
Sant Andreu,35.75450450450451,22418.0,22,0,16,0.0
la Vall d'Hebron,36.44144144144144,22643.5,2,0,9,0.0
la Vila Olímpica del Poblenou,37.17342342342342,32434.0,25,0,12,0.0
el Poble-sec,37.76401401401401,18196.5,97,7,36,19.4
Can Peguera,38.333333333333336,14582.0,0,0,1,0.0
la Maternitat i Sant Ramon,39.61524024024025,25111.0,35,1,24,4.2
Vallcarca i els Penitents,41.219031531531535,27507.0,23,1,16,6.2
les Tres Torres,41.34234234234235,43194.0,19,0,10,0.0
Provençals del Poblenou,41.55655655655656,19617.0,22,0,9,0.0
el Turó de la Peira,42.44369369369369,15471.5,8,0,4,0.0
la Sagrera,42.96396396396397,21169.0,15,0,10,0.0
Porta,43.24774774774775,18299.5,20,0,10,0.0
la Clota,43.62612612612614,20747.0,0,0,2,0.0
la Font d'en Fargues,43.66666666666667,24089.0,10,0,5,0.0
Can Baró,44.29054054054054,20590.0,2,0,4,0.0
Sant Martí de Provençals,44.6975546975547,19176.0,24,0,7,0.0
la Font de la Guatlla,44.84234234234235,21527.0,10,0,4,0.0
la Marina de Port,45.06906906906907,18227.0,43,0,15,0.0
Vilapicina i la Torre Llobeta,45.07507507507508,20176.0,24,0,9,0.0
el Putxet i el Farró,45.630630630630634,28725.0,34,0,9,0.0
el Parc i la Llacuna del Poblenou,45.83783783783784,24245.0,38,0,10,0.0
el Poblenou,46.46396396396397,23813.0,76,0,16,0.0
el Carmel,46.90690690690691,16109.5,50,0,9,0.0
la Salut,46.990990990990994,26080.0,8,0,5,0.0
la Teixonera,47.18018018018019,17848.0,44,0,5,0.0
el Coll,47.30855855855856,20877.0,13,0,4,0.0
les Corts,47.92792792792793,28740.0,46,0,12,0.0
Sant Gervasi - Galvany,48.05180180180181,35750.0,65,0,16,0.0
el Fort Pienc,48.45720720720721,24528.0,30,0,8,0.0
"Sant Pere, Santa Caterina i la Ribera",49.32432432432433,18968.0,29,0,6,0.0
el Clot,50.05855855855856,21704.0,42,0,10,0.0
Navas,50.39414414414415,21622.0,19,0,4,0.0
el Guinardó,51.07415107415108,21610.0,69,0,13,0.0
la Bordeta,51.373873873873876,21116.0,45,0,8,0.0
el Baix Guinardó,52.18018018018017,22432.0,23,0,5,0.0
Hostafrancs,52.972972972972975,20683.0,34,0,7,0.0
Sants - Badal,56.13513513513514,19943.0,57,0,5,0.0
la Nova Esquerra de l'Eixample,57.04504504504506,25694.0,128,0,15,0.0
el Barri Gòtic,57.47247247247247,18972.0,69,0,9,0.0
el Camp de l'Arpa del Clot,57.75675675675677,22131.0,46,0,5,0.0
l'Antiga Esquerra de l'Eixample,58.03732303732304,28407.0,108,0,14,0.0
Sants,58.8888888888889,22462.0,73,0,9,0.0
la Dreta de l'Eixample,61.318591318591324,29588.0,172,0,22,0.0
el Raval,62.384169884169886,13991.0,135,0,14,0.0
el Camp d'en Grassot i Gràcia Nova,62.398648648648646,25106.0,30,0,4,0.0
Sant Antoni,62.54504504504506,23761.0,20,0,2,0.0
la Sagrada Família,65.54617117117118,23450.5,179,0,16,0.0
la Vila de Gràcia,69.88238238238239,24564.0,277,0,18,0.0
